Coord_X,Coord_Y,Elevation,Slope,Dist_to_Water,Landslide_Label
103.60894500872907,22.69184831873697,1831.0005,8.197238,3915.3765441243518,0
103.74773472012552,22.677026116548998,126.67735,3.4286642,1193.0009899670238,0
103.66607786079906,22.61234741609239,1890.5693,10.498625,2048.6072829226855,0
103.79516576712703,22.634984961252204,192.4084,10.188445,243.26746933525928,0
103.63508598349694,22.41211293926215,2434.9563,3.7047918,8216.724026552005,0
103.66985078499236,22.70801799385112,543.8895,2.2133465,3835.236611249584,0
103.61163995458142,22.760299943386876,279.24402,10.066186,260.98535692661096,0
103.58361251771689,22.651154636366353,1356.7885,10.928321,882.8393987329557,0
103.576875153086,22.481642542253,2218.6897,4.7340426,3849.2056697434705,0
103.93045204891544,22.505897054924226,152.68538,12.179524,1613.4704858264902,0
103.7453092688584,22.553867091096212,518.6066,6.6077514,183.55792095958157,0
103.67551017128231,22.572192722892247,804.9761,3.010529,126.66406350034572,0
103.88679392610723,22.567341820358003,143.92531,11.923963,181.1477096634066,0
103.80109464800222,22.605340556876257,110.86587,10.498249,184.56813412287053,0
103.63427749974123,22.58431997922786,1867.918,7.445422,2032.7511872871019,0
103.67524067669709,22.633367993740787,2063.6086,0.92740995,4440.472577035522,0
103.61244843833713,22.535271964714937,2189.2644,11.036542,1845.859824425744,0
103.66526937704336,22.44391330031998,1433.7388,6.275073,4574.173223408368,0
103.89326179615288,22.460621964604602,836.26245,14.731998,2103.3604737112532,0
103.64667425066207,22.516676838333662,1447.1835,13.041468,945.953390911598,0
103.891105839471,22.52934308383975,111.28399,11.430718,1194.2431690351573,0
103.76956378152963,22.625822145354185,366.8882,13.423369,332.00048430289127,0
103.78869789708138,22.63983586378645,158.79788,13.95275,494.3901173442096,0
103.66985078499236,22.44984218119517,1338.5723,6.2158017,4047.054390189834,0
103.78977587542232,22.548477199391492,393.63974,4.2111683,3729.3397209090026,0
103.66526937704336,22.654388571389184,1658.4857,10.286562,6000.747168370144,0
103.58900240942161,22.549555177732437,1867.4569,7.641343,3164.2205656199485,0
103.80648453970694,22.58647593590975,479.13785,14.491286,2126.3254729444147,0
103.76875529777392,22.677295611134234,177.90665,13.083789,544.0286603336946,0
